entity_name,address,floor,borough,state,zip,aed_num_person_trained,aed_num_aeds,latitude,longitude,community_district,council_district,census_tract_2010,nta_code,bbl,bin,location_point
JFK AirTrain,JFK AirTrain,Lefferts Blvd,Queens,New York,11430,5,6,40.66229143,-73.82359901,483,31,71600,QN83,4000000,4142600001,POINT (-73.82359901 40.66229143)
Neighborhood School,121 East 3rd Street,outside room 413,Manhattan,New York,10009,7,1,40.7241097,-73.98638067,103,2,3200,MN22,1004310014,1005760,POINT (-73.98638067 40.7241097)
New York State Department of Housing,60 BAY STREET,Front door in hallway,Staten Island,New York,10301,5,1,40.64055103,-74.07568953,501,49,300,SI22,5000050051,5000025,POINT (-74.07568953 40.64055103)
Morgan Stanley - 1585 Broadway - Floor: U1,1585 Broadway,Floor: U1,Manhattan,New York,10036,3,12,40.760216,-73.985334,105,3,125,MN0502,1010197502,1076193,POINT (-73.985334 40.760216)
M.S. 113 Ronald Edmonds Learning Center,300 Adelphi Street,4th Floor Outside 417,Brooklyn,New York,11205,1,1,40.68880361,-73.97100896,302,35,18100,BK68,3021030004,3059051,POINT (-73.97100896 40.68880361)
Orsid Realty @ 200 RSB,200 RIVERSIDE BOULEVARD,Package Room,Manhattan,New York,10069,0,1,40.77911764,-73.98818198,107,6,15500,MN14,1011717501,1085722,POINT (-73.98818198 40.77911764)
Con Edison - East River Gen Station,801 EAST 14 STREET,-,Manhattan,New York,10009-2555,7,3,40.72734618,-73.97310638,106,4,4400,MN50,3066980001,3179301,POINT (-73.97310638 40.72734618)
Academy of Medical Technology: A College Board School,8-21 Bay 25 Street,Outside Room 102,Queens,New York,11691,10,1,40.60200214,-73.76279588,414,31,100802,QN15,4157360001,4300730,POINT (-73.76279588 40.60200214)
Columbia University,3270 BROADWAY,Public Safety Supervisor patrol vehicle,Manhattan,New York,10027,8,1,40.81794551,-73.95663104,109,7,21900,MN06,1019860030,1081809,POINT (-73.95663104 40.81794551)
The Science And Medicine Middle School,965 East 107th Street,Outside Rm 313,Brooklyn,New York,11236,11,1,40.64731574,-73.892021690000007,318,46,98400,BK50,3082150012,3396940,POINT (-73.89202169 40.64731574)
Dime Community Bank - Francis Lewis,24-44 FRANCIS LEWIS BOULEVARD,-,Queens,New York,11357,9,1,40.77506844,-73.79844142,407,19,105900,QN51,4048990034,4110872,POINT (-73.79844142 40.77506844)
Fox Networks Group - FTS- WNYW New York,205 EAST 67 STREET,-,Manhattan,New York,10065,5,11,40.76639019,-73.96252388,108,5,11800,MN31,1014220005,1081220,POINT (-73.96252388 40.76639019)
P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,1220 Gerard Avenue,Main Entrance,Bronx,New York,10452,13,1,40.83584078,-73.92002547,204,16,19700,BX63,2024800008,2097130,POINT (-73.92002547 40.83584078)
Morgan Stanley - ISG - New York Metro - 1585 Broadway - Floor: 12,1585 BROADWAY,-,Manhattan,New York,10036,6,1,40.76020869,-73.98533366,105,3,12500,MN17,1010197502,1076193,POINT (-73.98533366 40.76020869)
P.S. 131 Abigail Adams,170-45 84 Avenue,MAIN ENTRANCE,Queens,New York,11432,10,1,40.71660909,-73.79463635,408,24,45600,QN35,4098750001,4211112,POINT (-73.79463635 40.71660909)
"Davidoff, Hutcher & Citron LLP",605 THIRD AVENUE,15th Mailroom,Manhattan,New York,10158,0,1,40.74906882,-73.97568171,106,4,8800,MN19,1009200012,1082153,POINT (-73.97568171 40.74906882)
"NYC DOE Division of Instructional, Info & Tech [335 Adams]",335 Adams Street,outside elevator,Brooklyn,New York,11201,27,1,40.69355794,-73.98890761,302,33,1100,BK38,3001407501,3000259,POINT (-73.98890761 40.69355794)
Oppenheimer Funds,225 LIBERTY STREET,N/A,Manhattan,New York,10281,88,6,40.71153017,-74.01567279,101,1,31703,MN25,1000160125,1000058,POINT (-74.01567279 40.71153017)
James Madison High School,3787 Bedford Avenue,5th Floor Rm. 517,Brooklyn,New York,11229,39,1,40.60990523,-73.94851191,315,48,64200,BK44,3067880001,3182721,POINT (-73.94851191 40.60990523)
Dock Street School,19 Dock Street,1st Floor near SSA,Brooklyn,New York,11201,9,1,40.70309906,-73.99254871,302,33,2100,BK38,3000367504,3398406,POINT (-73.99254871 40.70309906)
P.S. 019 Judith K. Weiss,311 East 237 Street,outside room 357,Bronx,New York,10470,11,1,40.89901367,-73.86692314,212,11,45102,BX62,2033860001,2128791,POINT (-73.86692314 40.89901367)
69th Tenants Corp,150 East 69th Street,"Lobby by boardroom, main floor gym, lower level mgr office",Manhattan,New York,10021,20,3,40.76821287,-73.96300662,108,4,12000,MN40,1014030033,1042479,POINT (-73.96300662 40.76821287)
P.S. 070 Max Schoenfeld,1691 Weeks Avenue,Outside Pool on Sublevel,Bronx,New York,10457,16,1,40.84424684,-73.90761462,204,15,22902,BX41,2027930028,2007387,POINT (-73.90761462 40.84424684)
Allen Christian School,114-32 MERRICK BOULEVARD,ERROR: #NAME?,Queens,New York,11432,10,1,40.6909844,-73.77871224,412,27,26600,QN01,4123340300,4438917,POINT (-73.77871224 40.6909844)
I.S. 98 Bay Academy,1401 Emmons Avenue,Main Entrance,Brooklyn,New York,11235,8,1,40.58311845,-73.95403723,315,48,60800,BK17,3087670026,3246958,POINT (-73.95403723 40.58311845)
P.S. 003 The Margaret Gioiosa School,80 South Goff Avenue,MAIN ENTRANCE,Staten Island,New York,10309,12,1,40.52069164,-74.21126239,503,51,19800,SI01,5067960044,5083311,POINT (-74.21126239 40.52069164)
Houlihan Lokey,245 PARK AVENUE,32nd Floor,Manhattan,New York,10167,8,1,40.75481909,-73.97568321,105,4,9200,MN19,1013010001,1036205,POINT (-73.97568321 40.75481909)
P.S. 298 Dr. Betty Shabazz,85 Watkins Street,Main Entrance,Brooklyn,New York,11212,2,1,40.67097887,-73.90819441,316,37,90600,BK81,3035070007,3080768,POINT (-73.90819441 40.67097887)
Young Women's Leadership School,140 WEST 102 STREET,Main Entrance/1st Floor By Elevator,Manhattan,New York,10025,14,1,40.7975527,-73.96683678,107,7,18900,MN12,1018550009,1055911,POINT (-73.96683678 40.7975527)
Morgan Stanley - ISG - New York Metro - 1585 Broadway - Floor: 10,1585 BROADWAY,-,Manhattan,New York,10036,2,1,40.76020869,-73.98533366,105,3,12500,MN17,1010197502,1076193,POINT (-73.98533366 40.76020869)
P.S. 230 Doris L. Cohen Upper School,1 ALBEMARLE ROAD,4th floor,Brooklyn,New York,11218,24,1,40.64500999,-73.98076105,312,39,49800,BK41,3053230032,3124109,POINT (-73.98076105 40.64500999)
"Cline, Davis & Mann, Inc.",220 EAST 42 STREET,13th Floor,Manhattan,New York,10017,6,1,40.75024852,-73.9732559,106,4,8800,MN19,1013157501,1037546,POINT (-73.9732559 40.75024852)
P077K Main Site (K902),62 Park Place,Main Entrance,Brooklyn,New York,11217,11,1,40.67897583,-73.97649693,306,39,12902,BK37,3009410050,3259250,POINT (-73.97649693 40.67897583)
47 American Sign Language & English Lower School,225 East 23 Street,Main Entrance by School Safety,Manhattan,New York,10010,10,1,40.73852741,-73.98242274,106,2,6400,MN21,1009040024,1019775,POINT (-73.98242274 40.73852741)
New York State Department of Housing,1 FORDHAM PLAZA,Office Information Area,Bronx,New York,10458,2,1,40.86073227,-73.88958427,206,15,38700,BX06,2030330053,2088325,POINT (-73.88958427 40.86073227)
South Beach Senior Center,126 Lamport Blvd,Director''s Office,Staten Island,New York,10305,3,1,40.5954638,-74.07775189,502,50,6400,SI14,5032430100,5109511,POINT (-74.07775189 40.5954638)
P.S. 97 The Highlawn,1855 Stillwell Avenue,Outside Room 402- gym,Brooklyn,New York,11223,12,1,40.60142634,-73.98613931,311,43,40400,BK29,3066670024,3177680,POINT (-73.98613931 40.60142634)
Hearst Corporation,300 West 57th Street,42nd Floor,Manhattan,New York,10019,39,1,40.76643902,-73.98332508,104,6,13900,MN15,1010477502,1025451,POINT (-73.98332508 40.76643902)
Pathways to Graduation @ Good Shepherd and ACE,692 Blake Avenue,Outside Office D on 1st FL,Brooklyn,New York,11207,0,1,40.66806462,-73.89317033,305,42,115800,BK85,3037900021,3338955,POINT (-73.89317033 40.66806462)
New York Life - NE-V69-Manhattan,120 BROADWAY,29th Floor,Manhattan,New York,10271,7,1,40.70853891,-74.01104079,101,1,700,MN25,1000477501,1001026,POINT (-74.01104079 40.70853891)
New York State Department of Housing,92-31 UNION HALL STREET,Executive Unit,Queens,New York,11433,25,8,40.70378809,-73.79764429,412,27,44601,QN61,4101020004,4215623,POINT (-73.79764429 40.70378809)
Brooklyn High School Of The Arts,345 DEAN STREET,Portable (coach ms delvalle,Brooklyn,New York,11217,23,1,40.68355208,-73.98027034,302,33,3900,BK38,3001920013,3001190,POINT (-73.98027034 40.68355208)
Beginning with Children Charter School II High School (aka Community High School),250 Jay Street,across from elevator,Brooklyn,New York,11201,11,1,40.69689813,-73.98706784,302,33,1300,BK38,3000867501,3000176,POINT (-73.98706784 40.69689813)
Pathways to Graduation @ Project Rousseau,1560 Broadway,main entrance,Manhattan,New York,10036,1,1,40.75885272,-73.98484305,105,4,12500,MN17,1009990003,1022661,POINT (-73.98484305 40.75885272)
P.S. 105 Sen Abraham Bernstein,725 Brady Avenue,Main Office,Bronx,New York,10462,11,1,40.85239137,-73.86661554,211,13,22404,BX49,2042880001,2048794,POINT (-73.86661554 40.85239137)
Cassidy Coles Senior Center,125 Cassidy Place,Director''s Office,Staten Island,New York,10301,1,1,40.64188034,-74.09648934,501,49,8100,SI22,5000710011,5001762,POINT (-74.09648934 40.64188034)
TD Cowen,599 LEXINGTON AVENUE,28th Floor / Kitchen,Manhattan,New York,10017,0,1,40.75826818,-73.97105441,106,4,10000,MN19,1013070023,1036467,POINT (-73.97105441 40.75826818)
Dominican Academy,44 East 68th Street,Athletic Field - Closet,Manhattan,New York,10065,9,1,40.769031,-73.966869,108,4,122,MN0802,1013820043,1041229,POINT (-73.966869 40.769031)
Cohen & Gresser LLP,800 THIRD AVENUE,21st floor / pantry,Manhattan,New York,10022,8,1,40.75533405,-73.97112427,106,4,10000,MN19,1013040033,1036446,POINT (-73.97112427 40.75533405)
Macy's - Macy's #001: Queens Center,90-01 QUEENS BOULEVARD,-,Queens,New York,11373,11,2,40.73395591,-73.87197372,404,25,68300,QN29,4018600100,4045999,POINT (-73.87197372 40.73395591)
P.S. 032 Belmont,690 East 183 Street,main entrance,Bronx,New York,10458,13,1,40.8520855,-73.88588995,206,15,39100,BX06,2030850001,2012409,POINT (-73.88588995 40.8520855)
Preston High School,2780 SCHURZ AVENUE,Cabinet near cafeteria,Bronx,New York,10465,1,1,40.81424893,-73.81933727,210,13,13200,BX52,2056040032,2097763,POINT (-73.81933727 40.81424893)
P.S. 123 Mahalia Jackson,301 West 140 Street,Near Front Entrance by School Safety,Manhattan,New York,10030,3,1,40.81976002,-73.94443245,110,9,22102,MN03,1020420035,1060726,POINT (-73.94443245 40.81976002)
Business Of Sports School,439 West 49 Street,Outside Room 427,Manhattan,New York,10019,8,1,40.76336297,-73.99059981,104,3,12700,MN15,1010590015,1026646,POINT (-73.99059981 40.76336297)
P037R - The David Marquis School of the Arts MAIN SITE (R840),15 Fairfield Street,Main Entrance,Staten Island,New York,10308,18,1,40.56396289,-74.15088459,503,51,14605,SI54,5045860001,5061911,POINT (-74.15088459 40.56396289)
Pathways to Graduation @ Bronx Youth Build,1484 INWOOD AVENUE,Main Entrance,Bronx,New York,10452,6,1,40.84254436,-73.91745128,204,16,20900,BX63,2028590001,2008319,POINT (-73.91745128 40.84254436)
P.S. 159 Isaac Pitkin,2781 Pitkin Avenue,ANNEX MAIN ENTRANCE,Brooklyn,New York,11208,6,1,40.67575839,-73.86946854,305,42,120000,BK82,3042160001,3094735,POINT (-73.86946854 40.67575839)
NBC NOSM US - LIC (US NOSM),2-10 54 AVENUE,-,Queens,New York,11101-5923,6,2,40.74068976,-73.95889003,402,26,100,QN31,4000110001,4000000,POINT (-73.95889003 40.74068976)
SunTrust Banks,711 5 AVENUE,N/A,Manhattan,New York,10022,7,2,40.76193878,-73.97469873,105,4,10200,MN17,1012910001,1035768,POINT (-73.97469873 40.76193878)
Equinox,50 COURT STREET,NA,Manhattan,New York,11201,0,0,40.69230651,-73.99110029,302,33,900,BK09,3002650043,3002549,POINT (-73.99110029 40.69230651)
Frederick Douglass Academy,2581 7th Avenue,Main Entrance,Manhattan,New York,10039,9,1,40.82431252,-73.93711908,110,9,23600,MN03,1020160100,1060198,POINT (-73.93711908 40.82431252)
SONY Corporation,550 MADISON AVENUE,Health Services -13th,Manhattan,New York,10022,1,1,40.76108209,-73.97325154,105,4,10200,MN17,1012910010,1035769,POINT (-73.97325154 40.76108209)
Waterline Sq. 1,10 Riverside Blvd.,Lobby,Manhattan,New York,10069,8,1,40.77303566,-73.99298494,107,6,15100,MN14,1011717512,1089741,POINT (-73.99298494 40.77303566)
"Amalgamated Warbasse Houses, Inc.",2800 West 5th Street,Lobby - Bldg 4,Brooklyn,New York,11224,14,1,40.580189,-73.971722,313,47,354,BK1302,3072500001,3257105,POINT (-73.971722 40.580189)
P.S. 224 Hale A. Woodruff,757 Wortman Avenue,Outside Room 271,Brooklyn,New York,11208,0,1,40.66406722,-73.86609245,305,42,122000,BK82,3045300001,3098980,POINT (-73.86609245 40.66406722)
P.S. 233 Langston Hughes,9301 Avenue B,Outside Room 305,Brooklyn,New York,11236,11,1,40.65101511,-73.91402051,317,42,93000,BK96,3047530001,3104990,POINT (-73.91402051 40.65101511)
I.S. 238 - Susan B. Anthony Academy,88-15 182 Street,MAin Lobby,Queens,New York,11423,11,1,40.71308599,-73.78046742,412,23,47000,QN61,4099190006,4212425,POINT (-73.78046742 40.71308599)
"FINRA - 1 Liberty Plaza, 165 Broadway (NY, NY)",165 BROADWAY,-,Manhattan,New York,10006-1404,35,7,40.709582,-74.01018611,101,1,1300,MN25,1000627501,1001068,POINT (-74.01018611 40.709582)
Aspirations Diploma Plus High School,402 EASTERN PARKWAY,installed outside 312,Brooklyn,New York,11225,22,1,40.67009278,-73.954972,309,35,32300,BK63,3012670001,3032886,POINT (-73.954972 40.67009278)
P.S. 028 Wright Brothers,475 West 155 Street,main entrance,Manhattan,New York,10032,9,1,40.83122093,-73.94214266,112,10,23900,MN36,1021070026,1076739,POINT (-73.94214266 40.83122093)
P.S. 020 John Bowne,142-30 Barclay Avenue,main entrance,Queens,New York,11355,11,1,40.7586816,-73.82483086,407,20,85500,QN22,4050470001,4114657,POINT (-73.82483086 40.7586816)
HANAC Angelo Petromelis Senior Center,13-28 123rd Street,Director''s Office,Queens,New York,11356,3,1,40.78617162,-73.84477126,407,19,94700,QN23,4039970035,4096960,POINT (-73.84477126 40.78617162)
Bronx Charter School for Excellence Middle School [Grades 5-8],1960 Benedict Avenue,Main Entrance,Bronx,New York,10462,0,1,40.83416561,-73.85913198,209,18,22200,BX46,2039300038,2028883,POINT (-73.85913198 40.83416561)
OGDEN CAP PROPERTIES,155 EAST 31 STREET,LOBBY AND GYM,Manhattan,New York,10016,10,2,40.74424994,-73.98051214,106,2,7200,MN20,1008870030,1078756,POINT (-73.98051214 40.74424994)
"AECOM of YU, Div. of Substance Abuse",804 EAST 138 STREET,Port Morris Clinic,Bronx,New York,10454,15,0,40.80374203,-73.91026455,201,8,1900,BX39,2025890016,2004004,POINT (-73.91026455 40.80374203)
Unity Center for Urban Technologies,111 East 33 Street,outside 920,Manhattan,New York,10016,12,1,40.74616865,-73.98124058,105,4,7200,MN20,1008897501,1087537,POINT (-73.98124058 40.74616865)
International High School at LaGuardia Community College,45-35 Van Dam Street,Outside Room 204,Queens,New York,11101,10,1,40.74440532,-73.93364006,402,26,17900,QN31,4002490001,4003442,POINT (-73.93364006 40.74440532)
"SoulCycle, Inc",384 LAFAYETTE STREET,Ground,Manhattan,New York,10003,12,2,40.72763734,-73.99334692,102,2,5502,MN23,1005317501,1008529,POINT (-73.99334692 40.72763734)
P.S. 004 Duke Ellington,500 West 160 Street,Near 3rd floor elevator,Manhattan,New York,10032,10,1,40.83489285,-73.94108423,112,10,24500,MN36,1021180022,1062792,POINT (-73.94108423 40.83489285)
